clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_gamesetup_getin_01_head_angle_40,v1.3,1.3,a49d0111c5bb,15,0.462,0,0,0,0,0,0,0.571429,1.8,12228.6,0.630942,0,0,0,0.911561,0.15704,,,,SHORT;RATE;LOWCORR,47.857
anim_gamesetup_getout_01,v1.3,1.3,a49d0111c5bb,76,2.475,0,0,0,0,0,0,0.12,1.8,3914.23,0.746475,0.642392,0,0.0264,0.97824,0.134895,0.907337,2.43276,6.672,RATE;LOWCORR,19.8
anim_gamesetup_idle_01,v1.3,1.3,a49d0111c5bb,116,3.795,0,0,0,0,0,0,0,1.60441,1884.53,0.380041,0.0379866,0,0.00195438,0.978596,,,,,,0
anim_gamesetup_idle_02,v1.3,1.3,a49d0111c5bb,89,2.904,0,0,0,0,0,0,0,0.834718,924.332,0.239397,0.159605,0,0.00989753,0.546527,,,,,,0
anim_gamesetup_idle_03,v1.3,1.3,a49d0111c5bb,42,1.353,0,0,0,0,0,0,0,0.573978,711.559,0.0737422,0.0176117,0,0.00122899,,,,,,,0
anim_gamesetup_reaction_01,v1.3,1.3,a49d0111c5bb,30,0.957,0,0,0,0,0,0,0,1.45393,5162.97,0.190695,0.0414392,0,0.00357419,0.715718,,,,,,0
anim_gif_gleeserious_01,v1.3,1.3,a49d0111c5bb,91,2.97,0,0,0,0,0,0,0.166667,1.8,6239.6,0.783023,0.552128,0,0.0264,0.980794,-0.130657,0.9747,,,RATE;LOWCORR,21.667
anim_gif_idk_01,v1.3,1.3,a49d0111c5bb,116,3.795,0,0,0,0,0,0,0.0434783,1.8,3452.95,0.495096,0.0454841,0,0.00303549,0.91699,0.829191,,,,,1.739
anim_gif_no_01,v1.3,1.3,a49d0111c5bb,66,2.145,0,0,0,0,0,0,0.415385,1.8,6904.05,0.762438,0.0994453,0,0.00832283,0.983813,,0.411128,,,RATE,16.615
anim_gotosleep_getin_01,v1.3,1.3,a49d0111c5bb,161,5.28,0,0,0,0,0,0,0,0.816389,392.011,0.602952,0.656065,0,0.0242868,0.994576,,,,,,0
anim_gotosleep_getout_01,v1.3,1.3,a49d0111c5bb,121,3.96,0,0,0,0,0,0,0,1.20819,1982.14,0.640331,0.687399,0,0.0264,0.991986,,,,,,0
anim_gotosleep_getout_02,v1.3,1.3,a49d0111c5bb,136,4.455,0,0,0,0,0,0,0,1.45071,1207.2,0.672497,0.707126,0,0.0264,0.988514,0.774162,,,,,0
anim_gotosleep_getout_03,v1.3,1.3,a49d0111c5bb,103,3.366,0,0,0,0,0,0,0,1.03574,995.339,0.372649,0.689877,0,0.0264,0.974597,,,,,,0
anim_gotosleep_getout_04,v1.3,1.3,a49d0111c5bb,96,3.135,0,0,0,0,0,0,0.168421,1.8,7310.46,0.79037,0.765762,0,0.0264,0.667438,0.262028,0.932986,,,RATE;LOWCORR,21.737
anim_gotosleep_off_01,v1.3,1.3,a49d0111c5bb,33,1.056,0,0,0,0,0,0,0,0,0,0,0.0229985,0,0.00337768,,,,,,STATIC,50
anim_gotosleep_sleeping_01,v1.3,1.3,a49d0111c5bb,445,14.652,0,0,0,0,0,0,0,0.563087,254.588,0.343786,0.119091,0,0.00796646,0.99599,,,,,,0
anim_gotosleep_sleeploop_01,v1.3,1.3,a49d0111c5bb,445,14.652,0,0,0,0,0,0,0,0.24187,117.03,0.138183,0.119091,0,0.00796646,0.979081,,,,,,0
anim_greeting_happy_01,v1.3,1.3,a49d0111c5bb,136,4.455,0,0,0,0,0,0,0.340741,1.8,4462.18,2.01954,0.482868,0,0.0264,0.730697,0.569671,0.978121,,,RATE,13.63
anim_greeting_happy_02,v1.3,1.3,a49d0111c5bb,132,4.323,0,0,0,0,0,0,0.343511,1.8,6528.16,1.07382,0.561291,0,0.0256411,0.970395,0.911124,0.966393,,,RATE,13.74
anim_greeting_happy_03,v1.3,1.3,a49d0111c5bb,95,3.102,0,0,0,0,0,0,0.255319,1.8,7310.33,1.06514,1.15633e-05,0,8.9407e-07,0.914798,0.518793,0.87751,2.41468,7.60726,RATE,10.213
anim_greeting_happy_03_head_angle_-20,v1.3,1.3,a49d0111c5bb,95,3.102,0,0,0,0,0,0,0.329787,1.8,6941.8,1.06514,1.15633e-05,0,8.9407e-07,0.918427,-0.248206,0.87751,,,RATE;LOWCORR,28.191
anim_greeting_happy_03_head_angle_20,v1.3,1.3,a49d0111c5bb,95,3.102,0,0,0,0,0,0,0.287234,1.8,7087.65,1.06514,1.15633e-05,0,8.9407e-07,0.92498,0.661252,0.87751,,,RATE,11.489
anim_greeting_happy_03_head_angle_40,v1.3,1.3,a49d0111c5bb,95,3.102,0,0,0,0,0,0,0.212766,1.8,6598.89,1.06514,1.15633e-05,0,8.9407e-07,0.962219,0.661252,0.87751,,,RATE,8.511
anim_guarddog_cubedisconnect_01,v1.3,1.3,a49d0111c5bb,16,0.495,0,0,0,0,0,0,0.0666667,1.8,9495.06,0.219712,0.00019902,0,1.59144e-05,0.495837,0.553409,,,,SHORT;RATE,12.667
anim_guarddog_fakeout_01,v1.3,1.3,a49d0111c5bb,198,6.501,0,0,0,0,0,0,0.0203046,1.8,5228.58,0.644272,0.571447,0,0.0264,0.863261,0.114223,,,,LOWCORR,15.812
anim_guarddog_fakeout_02,v1.3,1.3,a49d0111c5bb,133,4.356,0,0,0,0,0,0,0,1.08222,2745.14,0.420272,0.187121,0,0.018032,0.958974,0.945822,,,,,0
anim_guarddog_fakeout_03,v1.3,1.3,a49d0111c5bb,127,4.158,0,0,0,0,0,0,0.134921,1.8,7771.81,0.740691,0.496932,0,0.0264,0.525707,0.595125,0.822567,,,RATE,5.397
anim_guarddog_getout_busted_01,v1.3,1.3,a49d0111c5bb,264,8.679,0,0,0,0,0,0,0.174905,1.8,7571.94,1.52227,0.482198,0,0.0264,0.668554,0.889628,0.694002,,,RATE,6.996
anim_guarddog_getout_playersucess_01,v1.3,1.3,a49d0111c5bb,296,9.735,0,0,0,0,0,0,0.0169492,1.8,4508.23,0.630652,0.642919,0,0.0264,0.897263,0.526864,0.845812,,,,0.678
anim_guarddog_getout_timeout_01,v1.3,1.3,a49d0111c5bb,171,5.61,0,0,0,0,0,0,0,1.76102,2699.2,0.561648,0.594575,0,0.0264,0.980551,0.969869,,,,,0
anim_guarddog_getout_timeout_02,v1.3,1.3,a49d0111c5bb,115,3.762,0,0,0,0,0,0,0.0263158,1.8,4920.82,0.39492,0.5212,0,0.0232004,0.89561,0.425968,0.980058,,,,1.053
anim_guarddog_getout_touched_01,v1.3,1.3,a49d0111c5bb,181,5.94,0,0,0,0,0,0,0.227778,1.8,6957.4,0.723564,0.549243,0,0.0264,0.775701,0.577947,0.664141,,,RATE,9.111
anim_guarddog_getout_untouched_01,v1.3,1.3,a49d0111c5bb,26,0.825,0,0,0,0,0,0,0,1.33648,2768.64,0.292785,0.3168,0,0.0264,0.963136,,,,,SHORT,10
anim_guarddog_getout_untouched_02,v1.3,1.3,a49d0111c5bb,71,2.31,0,0,0,0,0,0,0,1.485,4881.11,0.366567,0.426899,0,0.0264,0.952915,0.912378,,,,,0
anim_guarddog_interruption_01,v1.3,1.3,a49d0111c5bb,242,7.953,0,0,0,0,0,0,0.136929,1.8,5988.85,0.779689,0.47892,0,0.0264,0.937885,0.35749,0.934931,,,RATE,5.477
anim_guarddog_pulse_01,v1.3,1.3,a49d0111c5bb,10,0.297,0,0,0,0,0,0,0,1.48799,12130.9,0.232999,0,0,0,0.877648,0.879947,,,,TINY;SHORT,20
anim_guarddog_settle_01,v1.3,1.3,a49d0111c5bb,296,9.735,0,0,0,0,0,0,0.0474576,1.8,2571.63,1.08232,0.471726,0,0.0238939,0.879281,0.933552,0.685323,,,,1.898
anim_guarddog_sleeploop_01,v1.3,1.3,a49d0111c5bb,200,6.567,0,0,0,0,0,0,0,1.06028,702.263,0.282235,0.193588,0,0.0145787,0.976693,,,2.28878,2.83952,,0
anim_guarddog_sleeploop_02,v1.3,1.3,a49d0111c5bb,351,11.55,0,0,0,0,0,0,0,0.44443,303.744,0.133918,0.189075,0,0.0107389,0.976853,,,,,,0
anim_hiccup_01,v1.3,1.3,a49d0111c5bb,48,1.551,0,0,0,0,0,0,0,1.48939,5229.83,0.42427,0.0271956,0,0.00245017,0.874262,0.180182,,,,LOWCORR,15
anim_hiccup_02,v1.3,1.3,a49d0111c5bb,95,3.102,0,0,0,0,0,0,0.0212766,1.8,3436.3,0.456307,0.0745243,0,0.0055359,0.662641,0.756625,,,,,0.851
anim_hiccup_faceplant_01,v1.3,1.3,a49d0111c5bb,131,4.29,0,0,0,0,0,0,0.169231,1.8,6806.73,0.948048,0.506267,0,0.0264,0.782941,0.325064,,,,RATE,6.769
anim_hiccup_faceplant_02,v1.3,1.3,a49d0111c5bb,71,2.31,0,0,0,0,0,0,0.528571,1.8,8479.37,1.24908,0.417818,0,0.0264,0.821551,0.577899,,,,RATE,21.143
anim_hiccup_getin,v1.3,1.3,a49d0111c5bb,46,1.485,0,0,0,0,0,0,0.0888889,1.8,6578.03,0.427261,0.0808513,0,0.00613624,0.761889,0.119849,,,,RATE;LOWCORR,18.556
anim_hiccup_playercure_getout,v1.3,1.3,a49d0111c5bb,166,5.445,0,0,0,0,0,0,0.0363636,1.8,3334.44,1.02764,0.569888,0,0.0264,0.962612,-0.00940105,0.986488,,,LOWCORR,16.455
anim_hiccup_playercure_pickupreact,v1.3,1.3,a49d0111c5bb,92,3.003,0,0,0,0,0,0,0.186813,1.8,5023.52,0.714616,0.636591,0,0.0264,0.940854,0.116708,,,,RATE;LOWCORR,22.473
anim_hiccup_selfcure_getout,v1.3,1.3,a49d0111c5bb,212,6.963,0,0,0,0,0,0,0.113744,1.8,4375.45,0.91047,0.383437,0,0.0257564,0.974588,-0.0755015,0.993969,,,RATE;LOWCORR,19.55
anim_hiccup_turtleroll_01,v1.3,1.3,a49d0111c5bb,91,2.97,0,0,0,0,0,0,0.533333,1.8,8549.27,1.22971,0.458254,0,0.0264,0.791051,-0.208011,,,,RATE;LOWCORR,36.333
anim_hiccup_withreaction_01,v1.3,1.3,a49d0111c5bb,86,2.805,0,0,0,0,0,0,0.117647,1.8,5869.96,0.593171,0.461248,0,0.0264,0.899151,-0.0112116,0.901367,,,RATE;LOWCORR,19.706
anim_hiking_driving_end_01,v1.3,1.3,a49d0111c5bb,11,0.33,0,0,0,0,0,0,0,0.997657,2765.24,0.213398,0.0407993,0,0.00435573,0.95389,,,,,TINY;SHORT,20
anim_hiking_driving_end_02,v1.3,1.3,a49d0111c5bb,23,0.726,0,0,0,0,0,0,0,1.22102,3833.41,0.22463,0.0107729,0,0.0011974,0.926717,-0.567162,,,,SHORT;LOWCORR,25
anim_hiking_driving_loop_01,v1.3,1.3,a49d0111c5bb,58,1.881,0,0,0,0,0,0,0,0.530218,995.398,0.151693,0.0619276,0,0.00472903,0.849868,,,,,,0
