run,mapping_version,constants_sha1,n_clips,n_flagged,frac_flagged,mean_severity,r_head_med,r_lift_med,r_yaw_med,sat_max_mean,rate_cap_frac_mean,jerk_rms_mean,light_step_mean,flag_counts
v1.0-baseline,1.0,678e3a5a74fe,926,682,0.736501,14.8672,0.962686,0.668151,0.969402,0.00384477,0.0950588,30357.7,0.665311,RATE:419 FLICKER:242 LOWCORR:167 SHORT:154 TINY:50 SAT:40 STATIC:39 DYN:31 DEGENERATE:2
v1.1,1.1,2fa8bc4f5012,926,594,0.641469,11.6546,0.961815,0.67507,0.966135,0.0037391,0.0795343,23949.5,0,RATE:403 LOWCORR:169 SHORT:154 TINY:50 SAT:39 STATIC:39 DYN:31 DEGENERATE:2
v1.2,1.2,b7e804532df6,926,682,0.736501,14.2414,0.944647,0.647384,0.940276,0.00344539,0.136298,11553.8,0,RATE:521 LOWCORR:192 SHORT:154 TINY:50 STATIC:41 SAT:32 DYN:26 DEGENERATE:2
v1.3,1.3,a49d0111c5bb,926,683,0.737581,15.037,0.917872,0.61854,0.923339,0.003419,0.156524,4972.32,0,RATE:527 LOWCORR:193 SHORT:154 TINY:50 STATIC:45 SAT:23 DYN:17 DEGENERATE:2
v1.4,1.4,1e4c4ad2e6e1,926,683,0.737581,14.6635,0.917725,0.618872,0.923339,0.003419,0.158256,5059.44,0,RATE:527 LOWCORR:194 SHORT:154 TINY:50 STATIC:45 SAT:23 DEGENERATE:2
