clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_codelab_chicken_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,95,3.102,0,0,0,0,0,0,0.159574,4,56182.2,1.06908,4.05312e-05,0,2.94447e-05,0.984363,0.792089,0.89986,,,RATE,6.383
anim_codelab_chicken_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,95,3.102,0,0,0,0,0,0,0.12766,4,55459.8,1.06908,4.05312e-05,0,2.94447e-05,0.984247,0.792089,0.89986,,,RATE,5.106
anim_codelab_cow_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,321,10.56,0,0,0,0,0,0,0.134375,4,40059,1.08215,0.719202,0.378788,0.366639,0.978434,0.00330858,0.669537,,,RATE;LOWCORR,20.375
anim_codelab_cow_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,321,10.56,0,0,0,0,0,0,0.121875,4,37291.1,1.1141,0.719202,0.378788,0.366639,0.985671,0.0647687,0.669537,,,RATE;LOWCORR,19.875
anim_codelab_cow_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,321,10.56,0,0,0,0,0,0,0.125,4,36977.6,1.1141,0.719202,0.378788,0.366639,0.985875,0.0612028,0.669537,,,RATE;LOWCORR,20
anim_codelab_cubetap,v1.0-baseline,1.0,678e3a5a74fe,9,0.264,0,0,0,0,0,0,0.875,4,206635,0.528,0.0294096,0,0.0294096,0.74909,0.736815,,,,TINY;SHORT;RATE,55
anim_codelab_duck_01,v1.0-baseline,1.0,678e3a5a74fe,189,6.204,0,0,0,0,0,0,0.12766,4,50465.1,1.53268,0.548983,1.45068,0.548983,0.747424,0.972184,0.7431,,,RATE;FLICKER,15.106
anim_codelab_elephant_01,v1.0-baseline,1.0,678e3a5a74fe,111,3.63,0,0,0,0,0,0,0.172727,4,41136.2,1.25711,0.19377,0,0.144026,0.798053,0.972512,0.932457,,,RATE,6.909
anim_codelab_frightenedcozmo_01,v1.0-baseline,1.0,678e3a5a74fe,101,3.3,0,0,0,0,0,0,0.02,4,21275.8,0.417591,0.0872667,0,0.0872667,0.966609,0.952867,,,,,0.8
anim_codelab_frog_01,v1.0-baseline,1.0,678e3a5a74fe,46,1.485,0,0,0,0,0,0,0.0666667,4,36295.5,0.628181,0.165727,0,0.152499,0.950159,0.224528,,,,RATE;LOWCORR,17.667
