clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_gotosleep_getout_03,v1.1,1.1,2fa8bc4f5012,103,3.366,0,0,0,0,0,0,0,1.25646,4428.11,0.380521,0.674897,0,0.066,0.976491,,,,,,0
anim_gotosleep_getout_04,v1.1,1.1,2fa8bc4f5012,96,3.135,0,0,0,0,0,0,0.178947,4,48456.3,0.797944,0.755408,0,0.066,0.883306,0.275251,0.979481,,,RATE;LOWCORR,22.158
anim_gotosleep_off_01,v1.1,1.1,2fa8bc4f5012,33,1.056,0,0,0,0,0,0,0,0,0,0,0.0889698,0,0.066,,,,,,STATIC,50
anim_gotosleep_sleeping_01,v1.1,1.1,2fa8bc4f5012,445,14.652,0,0,0,0,0,0,0,0.851889,1085.38,0.348782,0.143672,0,0.066,0.996095,,,,,,0
anim_gotosleep_sleeploop_01,v1.1,1.1,2fa8bc4f5012,445,14.652,0,0,0,0,0,0,0,0.300368,681.631,0.139722,0.143672,0,0.066,0.978615,,,,,,0
anim_greeting_happy_01,v1.1,1.1,2fa8bc4f5012,136,4.455,0,0,0,0,0,0,0.125926,4,39116.6,2.03116,0.466636,0,0.066,0.875921,0.63126,0.965213,,,RATE,5.037
anim_greeting_happy_02,v1.1,1.1,2fa8bc4f5012,132,4.323,0,0,0,0,0,0,0.0839695,4,21845.6,1.07855,0.581197,0,0.066,0.967666,0.980912,0.995527,,,RATE,3.359
anim_greeting_happy_03,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.148936,4,54274.9,1.06908,2.37823e-05,0,1.43647e-05,0.965574,0.713912,0.89986,4.83264,14.0504,RATE;DYN,30.957
anim_greeting_happy_03_head_angle_-20,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.159574,4,52797.5,1.06908,2.37823e-05,0,1.43647e-05,0.96706,-0.119923,0.89986,,,RATE;LOWCORR,21.383
anim_greeting_happy_03_head_angle_20,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.170213,4,55484.5,1.06908,2.37823e-05,0,1.43647e-05,0.974217,0.852957,0.89986,,,RATE,6.809
